Bitdefender Total Security                                                                             27.0.20.105
Bitdefender Agent                                                                                      27.0.1.261
Bitdefender VPN                                                                                        26.0.2.1
Microsoft 365 - en-us                                                                                  16.0.16924.20150
Microsoft 365 Apps for enterprise - en-us                                                              16.0.16924.20150
Microsoft OneDrive                                                                                     23.221.1024.0002
Microsoft OneNote - en-us                                                                              16.0.16924.20150
Adobe Acrobat DC (64-bit)                                                                              22.001.20085
Office 16 Click-to-Run Licensing Component                                                             16.0.16924.20150
Office 16 Click-to-Run Extensibility Component                                                         16.0.16924.20124
GlobalProtect                                                                                          6.1.1
